timestamp,sensor_type,user_id,x,y,z,Activity,ActivityName
1745524918553,gyroscope,1,-0.001985312,-0.00045814895,0.001985312,6.0,LAYING
1745524918732,accelerometer,1,0.10055647,0.090979666,9.605837,6.0,LAYING
1745524918732,gyroscope,1,0.00045814895,0.00076358154,0.00076358154,6.0,LAYING
1745524918912,accelerometer,1,0.14844051,0.059855044,9.584289,6.0,LAYING
1745524918912,gyroscope,1,-0.00076358154,-0.0010690142,0.00015271631,6.0,LAYING
1745524919092,accelerometer,1,0.16759412,0.090979666,9.598654,6.0,LAYING
1745524919093,gyroscope,1,-0.00015271631,0.00076358154,0.00015271631,6.0,LAYING
1745524919272,accelerometer,1,0.14844051,0.10295067,9.615414,6.0,LAYING
1745524919273,gyroscope,1,0.0010690142,0.00076358154,0.00015271631,6.0,LAYING
1745524919452,accelerometer,1,0.1316811,0.076614454,9.601048,6.0,LAYING
1745524919452,gyroscope,1,-0.0013744468,0.00076358154,0.00076358154,6.0,LAYING
1745524919632,accelerometer,1,0.107739076,0.12449849,9.601048,6.0,LAYING
1745524919632,gyroscope,1,0.0016798794,0.0013744468,0.00015271631,6.0,LAYING
1745524919812,accelerometer,1,0.1364695,0.047884032,9.598654,6.0,LAYING
1745524919812,gyroscope,1,-0.00015271631,0.00076358154,0.00076358154,6.0,LAYING
1745524919992,accelerometer,1,0.09816227,0.095768064,9.608231,6.0,LAYING
1745524919992,gyroscope,1,-0.0013744468,-0.00045814895,0.00015271631,6.0,LAYING
1745524920171,accelerometer,1,0.15322891,0.06703765,9.581895,6.0,LAYING
1745524920171,gyroscope,1,-0.00015271631,0.00015271631,0.00015271631,6.0,LAYING
1745524920351,accelerometer,1,0.12928689,0.088585466,9.603442,6.0,LAYING
1745524920351,gyroscope,1,-0.00015271631,-0.0010690142,-0.00045814895,6.0,LAYING
1745524920532,accelerometer,1,0.1340753,0.088585466,9.605837,6.0,LAYING
1745524920532,gyroscope,1,-0.00015271631,-0.00045814895,-0.00045814895,6.0,LAYING
1745524920711,accelerometer,1,0.1412579,0.074220255,9.593865,6.0,LAYING
1745524920711,gyroscope,1,-0.00015271631,0.00076358154,0.00015271631,6.0,LAYING
1745524920892,accelerometer,1,0.095768064,0.12210429,9.608231,6.0,LAYING
1745524920892,gyroscope,1,-0.00076358154,-0.0010690142,0.00015271631,6.0,LAYING
1745524921072,accelerometer,1,0.12449849,0.10055647,9.608231,6.0,LAYING
1745524921072,gyroscope,1,-0.00015271631,0.001985312,0.00015271631,6.0,LAYING
1745524921252,accelerometer,1,0.16759412,0.107739076,9.603442,6.0,LAYING
1745524921252,gyroscope,1,0.00045814895,0.00076358154,0.00015271631,6.0,LAYING
1745524921432,accelerometer,1,0.17717093,0.009576807,9.81892,6.0,LAYING
1745524921432,gyroscope,1,-0.071013086,-0.10552697,0.0013744468,6.0,LAYING
1745524921611,accelerometer,1,0.08619126,0.12689269,9.308955,6.0,LAYING
1745524921612,gyroscope,1,0.016340645,0.039858956,-0.00045814895,6.0,LAYING
1745524921794,accelerometer,1,0.1316811,0.076614454,9.646538,6.0,LAYING
1745524921794,gyroscope,1,0.00045814895,-0.00045814895,-0.00045814895,6.0,LAYING
1745524921971,accelerometer,1,0.15801731,0.05746084,9.608231,6.0,LAYING
1745524921971,gyroscope,1,-0.00076358154,0.00015271631,-0.00045814895,6.0,LAYING
1745524922152,accelerometer,1,0.18195933,0.06464344,9.639356,6.0,LAYING
1745524922152,gyroscope,1,-0.00015271631,-0.00045814895,0.00015271631,6.0,LAYING
1745524922332,accelerometer,1,0.20111294,0.021547815,9.601048,6.0,LAYING
1745524922332,gyroscope,1,-0.00076358154,-0.00045814895,0.00015271631,6.0,LAYING
1745524922512,accelerometer,1,0.1412579,0.088585466,9.610625,6.0,LAYING
1745524922512,gyroscope,1,0.00045814895,0.00015271631,0.00015271631,6.0,LAYING
